"year","id_country","fire_type","N","N_km","my_mean","year.y","month"
"200807","brazil","cumu",628689,134953.537027599,0.0740467442985658,"2008","07"
"200808","brazil","cumu",640890,137572.587313629,-0.0387170955927513,"2008","08"
"200808","brazil","new",12201,2619.05028602972,-0.0387170955927513,"2008","08"
"200809","brazil","cumu",650982,139738.922489976,-0.0979872738087368,"2008","09"
"200809","brazil","new",10092,2166.33517634718,-0.0979872738087368,"2008","09"
"200810","brazil","cumu",659825,141637.149002505,-0.43153088667326,"2008","10"
"200810","brazil","new",8843,1898.22651252855,-0.43153088667326,"2008","10"
"200811","brazil","cumu",665190,142788.792702574,-0.484741756387784,"2008","11"
"200811","brazil","new",5365,1151.64370006962,-0.484741756387784,"2008","11"
"200812","brazil","cumu",666328,143033.074255357,-0.347686429777886,"2008","12"
"200812","brazil","new",1138,244.281552782708,-0.347686429777886,"2008","12"
"200901","brazil","cumu",666506,143071.283496478,-0.219439825930972,"2009","01"
"200901","brazil","new",178,38.2092411206696,-0.219439825930972,"2009","01"
"200902","brazil","new",35,7.51305302934515,-0.18230381525415,"2009","02"
"200902","brazil","cumu",666541,143078.796549507,-0.18230381525415,"2009","02"
"200903","brazil","cumu",666675,143107.560809677,-0.0106281571219097,"2009","03"
"200903","brazil","new",134,28.7642601694929,-0.0106281571219097,"2009","03"
"200904","brazil","cumu",666779,143129.885310107,0.228951042076211,"2009","04"
"200904","brazil","new",104,22.3245004300542,0.228951042076211,"2009","04"
"200905","brazil","new",100,21.465865798129,0.423864797774463,"2009","05"
"200905","brazil","cumu",666879,143151.351175905,0.423864797774463,"2009","05"
"200906","brazil","cumu",667150,143209.523672218,0.535202415718053,"2009","06"
"200906","brazil","new",271,58.1724963129296,0.535202415718053,"2009","06"
"200907","brazil","new",727,156.056844352398,0.546184814304387,"2009","07"
"200907","brazil","cumu",667877,143365.58051657,0.546184814304387,"2009","07"
"200908","brazil","cumu",672889,144441.449710372,0.472483372398448,"2009","08"
"200908","brazil","new",5012,1075.86919380223,0.472483372398448,"2009","08"
"200909","brazil","cumu",681284,146243.509144125,0.176600020575212,"2009","09"
"200909","brazil","new",8395,1802.05943375293,0.176600020575212,"2009","09"
"200910","brazil","cumu",689489,148004.783432862,0.0543772436704042,"2009","10"
"200910","brazil","new",8205,1761.27428873648,0.0543772436704042,"2009","10"
"200911","brazil","new",7606,1632.69375260569,-0.242490253459651,"2009","11"
"200911","brazil","cumu",697095,149637.477185467,-0.242490253459651,"2009","11"
"200912","brazil","new",1766,379.087189994958,-0.288161169365903,"2009","12"
"200912","brazil","cumu",698861,150016.564375462,-0.288161169365903,"2009","12"
"201001","brazil","new",491,105.397401068813,-0.475968600854574,"2010","01"
"201001","brazil","cumu",699352,150121.961776531,-0.475968600854574,"2010","01"
"201002","brazil","new",533,114.413064704028,-0.808685351976276,"2010","02"
"201002","brazil","cumu",699885,150236.374841235,-0.808685351976276,"2010","02"
"201003","brazil","new",330,70.8373571338257,-1.19388737603858,"2010","03"
"201003","brazil","cumu",700215,150307.212198369,-1.19388737603858,"2010","03"
"201004","brazil","cumu",700336,150333.185895985,-1.15543646301607,"2010","04"
"201004","brazil","new",121,25.9736976157361,-1.15543646301607,"2010","04"
"201005","brazil","cumu",700620,150394.148954851,-1.13065983050016,"2010","05"
"201005","brazil","new",284,60.9630588666864,-1.13065983050016,"2010","05"
"201006","brazil","cumu",701179,150514.143144663,-1.10050046202707,"2010","06"
"201006","brazil","new",559,119.994189811541,-1.10050046202707,"2010","06"
"201007","brazil","new",2081,446.704667259065,-1.08578643362844,"2010","07"
"201007","brazil","cumu",703260,150960.847811922,-1.08578643362844,"2010","07"
"201008","brazil","new",21594,4635.33906044798,-1.05608882364854,"2010","08"
"201008","brazil","cumu",724854,155596.18687237,-1.05608882364854,"2010","08"
