"year","id_country","fire_type","N","N_km","my_mean","year.y","month"
"201008","brazil","new",19078,4095.25787696705,-1.05608882364854,"2010","08"
"201009","brazil","cumu",538011,115488.719239172,-1.30830898368874,"2010","09"
"201009","brazil","new",29323,6294.43582798537,-1.30830898368874,"2010","09"
"201010","brazil","new",8721,1872.03815625483,-1.37583735072558,"2010","10"
"201010","brazil","cumu",546732,117360.757395427,-1.37583735072558,"2010","10"
"201011","brazil","cumu",547117,117443.400978749,-1.22367728258902,"2010","11"
"201011","brazil","new",385,82.6435833227967,-1.22367728258902,"2010","11"
"201012","brazil","new",99,21.2512071401477,-0.891942159035628,"2010","12"
"201012","brazil","cumu",547216,117464.65218589,-0.891942159035628,"2010","12"
"201101","brazil","cumu",547239,117469.589335023,-0.695562303818147,"2011","01"
"201101","brazil","new",23,4.93714913356967,-0.695562303818147,"2011","01"
"201102","brazil","new",2,0.42931731596258,-0.458532870828319,"2011","02"
"201102","brazil","cumu",547241,117470.018652339,-0.458532870828319,"2011","02"
"201103","brazil","new",47,10.0889569251206,-0.300317466738904,"2011","03"
"201103","brazil","cumu",547288,117480.107609264,-0.300317466738904,"2011","03"
"201104","brazil","cumu",547305,117483.75680645,-0.135037298245207,"2011","04"
"201104","brazil","new",17,3.64919718568193,-0.135037298245207,"2011","04"
"201105","brazil","cumu",547344,117492.128494111,0.0374731020304155,"2011","05"
"201105","brazil","new",39,8.37168766127031,0.0374731020304155,"2011","05"
"201106","brazil","new",68,14.5967887427277,0.0973215005816237,"2011","06"
"201106","brazil","cumu",547412,117506.725282854,0.0973215005816237,"2011","06"
"201107","brazil","new",133,28.5496015115116,0.0861015840866446,"2011","07"
"201107","brazil","cumu",547545,117535.274884365,0.0861015840866446,"2011","07"
"201108","brazil","cumu",549788,118016.754254217,-0.0569968778947625,"2011","08"
"201108","brazil","new",2243,481.479369852034,-0.0569968778947625,"2011","08"
"201109","brazil","cumu",554927,119119.885097583,-0.167440796725235,"2011","09"
"201109","brazil","new",5139,1103.13084336585,-0.167440796725235,"2011","09"
"201110","brazil","new",1183,253.941192391866,-0.312872077259363,"2011","10"
"201110","brazil","cumu",556110,119373.826289975,-0.312872077259363,"2011","10"
"201111","brazil","new",192,41.2144623324077,-0.39902787697886,"2011","11"
"201111","brazil","cumu",556302,119415.040752308,-0.39902787697886,"2011","11"
"201112","brazil","cumu",557154,119597.929928908,-0.57701504902553,"2011","12"
"201112","brazil","new",852,182.889176600059,-0.57701504902553,"2011","12"
"201201","brazil","new",83,17.8166686124471,-0.519848879588702,"2012","01"
"201201","brazil","cumu",557237,119615.74659752,-0.519848879588702,"2012","01"
"201202","brazil","new",85,18.2459859284097,-0.508077032239652,"2012","02"
"201202","brazil","cumu",557322,119633.992583449,-0.508077032239652,"2012","02"
"201203","brazil","cumu",557336,119636.99780466,-0.329438798607502,"2012","03"
"201203","brazil","new",14,3.00522121173806,-0.329438798607502,"2012","03"
"201204","brazil","new",8,1.71726926385032,-0.355561462792052,"2012","04"
"201204","brazil","cumu",557344,119638.715073924,-0.355561462792052,"2012","04"
